# Accelerometer Data File
# Started @Wed Oct 14 09:10:04 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSL Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.074 5.09 8.547 2
-0.064 5.109 8.504 2
-0.05 5.14 8.449 2
-0.028 5.147 8.415 2
-0.028 5.159 8.384 2
-0.014 5.166 8.348 2
0.009 5.197 8.308 2
0.021 5.205 8.291 2
0.05 5.212 8.288 2
0.055 5.226 8.267 2
0.062 5.214 8.262 2
0.071 5.238 8.267 2
0.083 5.245 8.284 2
0.093 5.243 8.293 2
0.117 5.25 8.315 2
0.136 5.253 8.329 2
0.153 5.236 8.351 2
0.181 5.248 8.344 2
0.193 5.243 8.346 2
0.222 5.241 8.36 2
0.232 5.221 8.377 2
0.227 5.217 8.396 2
0.249 5.2 8.413 2
0.263 5.183 8.425 2
0.263 5.183 8.425 2
0.275 5.188 8.466 2
0.289 5.183 8.475 2
0.289 5.15 8.499 2
0.296 5.133 8.523 2
0.294 5.128 8.53 2
0.304 5.13 8.533 2
0.313 5.138 8.559 2
0.328 5.126 8.576 2
0.349 5.085 8.588 2
0.359 5.075 8.585 2
0.354 5.071 8.602 2
0.361 5.059 8.631 2
0.361 5.049 8.631 2
0.385 5.035 8.648 2
0.409 5.02 8.657 2
0.416 5.02 8.662 2
0.438 5.008 8.688 2
0.471 5.001 8.715 2
0.483 4.996 8.731 2
0.5 4.984 8.736 2
0.512 4.965 8.753 2
0.517 4.96 8.755 2
